tier,n_reviews,doi,title,authors,journal,year,volume,page,type,citations,publisher,target_folder
A,6,10.1109/63.261004,Use of ESR for deterioration diagnosis of electrolytic capacitor,Harada K.; Katsuki A.; Fujiwara M.,IEEE Transactions on Power Electronics,1993,8,355-361,journal-article,193,IEEE Xplore,03_CM_ParameterEstimation
A,6,10.1109/tia.2010.2049972,A Real-Time Predictive-Maintenance System of Aluminum Electrolytic Capacitors Used in Uninterrupted Power Supplies,Abdennadher Karim; Venet Pascal; Rojat Gérard; Retif Jean-Marie et al.,IEEE Transactions on Industry Applications,2010,46,1644-1652,journal-article,185,IEEE Xplore,04_SOH_RUL_Prognostics
A,6,10.1109/2943.974353,Realization of a Smart: Electrolytic Capacitor Circuit: Electrolytic Capacitor Circuits that can Signal their Own Worn-Out State Have Arrived,Venet P.; Perisse F.; El-Husseini M. H.; Rojat G.,IEEE Industry Applications Magazine,2002,8,16-20,journal-article,145,IEEE Xplore,03_CM_ParameterEstimation
A,6,10.1109/tia.2012.2222333,Condition Monitoring of DC-Link Capacitors in Aerospace Drives,Wechsler Andrew; Mecrow Barrie C.; Atkinson David J.; Bennett John W. et al.,IEEE Transactions on Industry Applications,2012,48,1866-1874,journal-article,91,IEEE Xplore,03_CM_ParameterEstimation
A,5,10.1109/tpel.2010.2059713,Life-Cycle Monitoring and Voltage-Managing Unit for DC-Link Electrolytic Capacitors in PWM Converters,Vogelsberger Markus A.; Wiesinger Thomas; Ertl Hans,IEEE Transactions on Power Electronics,2011,26,493-503,journal-article,228,IEEE Xplore,02_Failure_Physics
A,5,10.1109/tie.2012.2218561,Fault Diagnosis of DC-Link Capacitors in Three-Phase AC/DC PWM Converters by Online Estimation of Equivalent Series Resistance,Pu Xing-Si; Nguyen Thanh Hai; Lee Dong-Choon; Lee Kyo-Beum et al.,IEEE Transactions on Industrial Electronics,2013,60,4118-4127,journal-article,180,IEEE Xplore,03_CM_ParameterEstimation
A,5,10.1109/tie.2009.2022077,A Simple Offline Technique for Evaluating the Condition of Aluminum–Electrolytic–Capacitors,Amaral A.M.R.; Cardoso A.J.M.,IEEE Transactions on Industrial Electronics,2009,56,3230-3237,journal-article,145,IEEE Xplore,03_CM_ParameterEstimation
A,5,10.1109/tpel.2017.2736162,Quasi-Online Technique for Health Monitoring of Capacitor in Single-Phase Solar Inverter,Agarwal Nikunj; Ahmad Md Waseem; Anand Sandeep,IEEE Transactions on Power Electronics,2018,33,5283-5291,journal-article,108,IEEE Xplore,03_CM_ParameterEstimation
A,5,10.1109/pesc.2005.1582040,A Real Time Method to Estimate Electrolytic Capacitor Condition in PWM Adjustable Speed Drives and Uninterruptible Power Supplies,Aeloiza E.; Jang-Hwan Kim; Enjeti P.; Ruminot P.,"IEEE 36th Conference on Power Electronics Specialists, 2005.",,,2867-2872,proceedings-article,82,IEEE Xplore,03_CM_ParameterEstimation
A,5,10.1109/tim.2008.925013,An Economic Offline Technique for Estimating the Equivalent Circuit of Aluminum Electrolytic Capacitors,Amaral A.M.R.; Cardoso A.,IEEE Transactions on Instrumentation and Measurement,2008,57,2697-2710,journal-article,43,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tia.2011.2124436,An Industry-Based Survey of Reliability in Power Electronic Converters,Shaoyong Yang; Bryant A; Mawby P; Dawei Xiang et al.,IEEE Transactions on Industry Applications,2011,47,1441-1451,journal-article,1852,IEEE Xplore,00_Reviews_Capacitor
A,4,10.1109/63.728347,Failure prediction of electrolytic capacitors during operation of a switchmode power supply,Lahyani A.; Venet P.; Grellet G.; Viverge P.-J.,IEEE Transactions on Power Electronics,1998,13,1199-1207,journal-article,318,IEEE Xplore,04_SOH_RUL_Prognostics
A,4,10.1109/tvt.2012.2206082,Analysis and Evaluation of DC-Link Capacitors for High-Power-Density Electric Vehicle Drive Systems,Huiqing Wen; Weidong Xiao; Xuhui Wen; Armstrong P.,IEEE Transactions on Vehicular Technology,2012,61,2950-2964,journal-article,254,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tia.2005.858258,Life Prediction Modeling of Bus Capacitors in AC Variable-Frequency Drives,Gasperi M.L.,IEEE Transactions on Industry Applications,2005,41,1430-1435,journal-article,165,IEEE Xplore,04_SOH_RUL_Prognostics
A,4,10.1109/tie.2007.903975,Online Failure Prediction of the Electrolytic Capacitor for LC Filter of Switching-Mode Power Converters,Chen Yaow-Ming; Wu Hsu-Chin; Chou Ming-Wei; Lee Kung-Yen,IEEE Transactions on Industrial Electronics,2008,55,400-406,journal-article,131,IEEE Xplore,04_SOH_RUL_Prognostics
A,4,10.1109/tpel.2014.2339374,Deterioration Monitoring of DC-Link Capacitors in AC Machine Drives by Current Injection,Nguyen Thanh Hai; Lee Dong-Choon,IEEE Transactions on Power Electronics,2015,30,1126-1130,journal-article,111,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tim.2009.2032960,An Online and Noninvasive Technique for the Condition Monitoring of Capacitors in Boost Converters,Buiatti G M; Martín-Ramos J A; García C H R; Amaral A M R et al.,IEEE Transactions on Instrumentation and Measurement,2010,59,2134-2143,journal-article,105,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tpel.2014.2383436,A Current-Sensorless Online ESR and C Identification Method for Output Capacitor of Buck Converter,Yao Kai; Tang Weijie; Hu Wenbin; Lyu Jianguo,IEEE Transactions on Power Electronics,2015,30,6993-7005,journal-article,105,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tia.2008.2002181,DC-Link Capacitance Estimation in AC/DC/AC PWM Converters Using Voltage Injection,Abo-Khalil A.G.; Dong-Choon Lee,IEEE Transactions on Industry Applications,2008,44,1631-1637,journal-article,104,IEEE Xplore,03_CM_ParameterEstimation
