doi,title,authors,journal,year,type,venue_swept,citations,abstract
10.1016/j.ress.2026.112211,A hybrid modeling framework for predicting the multilayer ceramic capacitor reliability under thermal-electrical coupling operating conditions,Li Donghui; Zhong Yuguang; Zhou Xue; Zhai Guofu,Reliability Engineering &amp; System Safety,2026,journal-article,Reliability Engineering & System Safety,2,
10.1109/tdmr.2026.3666475,Remaining Useful Life Prediction of Electrolytic Capacitors Incorporating Data-Driven and Model-Based Methods,Yi Jianmin; Wang Hao; Ma Cunbao,IEEE Transactions on Device and Materials Reliability,2026,journal-article,IEEE Trans. Device and Materials Reliability,1,
10.1016/j.microrel.2026.116089,Reliability assessment of SMD tantalum capacitors for Active Implantable Medical Devices: A methodology based on ALT and DoE,Indmeskine Fatima-Ezahra; Saintis Laurent; Kobi Abdessamad; Marceau Hélène,Microelectronics Reliability,2026,journal-article,Microelectronics Reliability,0,
10.1016/j.microrel.2026.116159,Optimizing the capacitor insulator to enhance the bias-stress characteristics of LTPS-TFTs for improving the reliability of low-temperature polycrystalline-silicon active matrix organic light-emitting diodes,Jin Yu; Wang Chen; Xu Wen-Jie; Zhou Zhi-Yi,Microelectronics Reliability,2026,journal-article,Microelectronics Reliability,0,
10.1016/j.microrel.2026.116189,"A comprehensive review of FinFET-based capacitorless 1T-DRAM: Design, performance, and reliability",Rathi Mitali; Mishra Guru Prasad,Microelectronics Reliability,2026,journal-article,Microelectronics Reliability,0,
10.1016/j.microrel.2026.116229,Improving TDDB lifetime of MIM capacitor by optimized electrode etching process,Pan Dong; Xu Ruizhang,Microelectronics Reliability,2026,journal-article,Microelectronics Reliability,0,
10.1016/j.microrel.2026.116284,Thermal curing kinetics and adhesion strength of a novel photosensitive dielectric build-up film for advanced packaging substrates,Liu Mengxi; Lin Xiaowen; Li Man; Wang Chong,Microelectronics Reliability,2026,journal-article,Microelectronics Reliability,0,
10.1109/tdmr.2026.3669812,PID well charging observed for large MOS transistors embedded in suboptimal product design and triggered by inhomogeneous high-k dielectric reliability,Martin Andreas; Stafford Benjamin H.,IEEE Transactions on Device and Materials Reliability,2026,journal-article,IEEE Trans. Device and Materials Reliability,0,
10.1109/tdmr.2026.3679333,Engineering Wake-Up-Free Ferroelectric Capacitors with Enhanced High-Temperature Reliability,Afroze Nashrah; Soliman Salma; Kuo Yu-Hsin; Kang Sanghyun,IEEE Transactions on Device and Materials Reliability,2026,journal-article,IEEE Trans. Device and Materials Reliability,0,
10.1109/tdmr.2026.3699552,Research on the degradation mechanism of Stacked Aluminum Polymer Capacitors in Humid Environments,Sha Ming; Shi Lei; Liu Wenjie; Lv Zhe,IEEE Transactions on Device and Materials Reliability,2026,journal-article,IEEE Trans. Device and Materials Reliability,0,
10.1109/tdmr.2026.3718376,Uncertainty-Aware Probabilistic Reliability Algorithm for Capacitors Using Kriging-Based Electrothermal Modeling,Alexandre Andressa Mara Menezes; Filho Paulo Soares; De Castro Helio Fiori; Barros Tarcio Andre Dos Santos,IEEE Transactions on Device and Materials Reliability,2026,journal-article,IEEE Trans. Device and Materials Reliability,0,
10.1109/jestpe.2025.3648439,Robust Soft Fault Diagnosis of Capacitor Degradation in DC–DC Converters Using Statistical Optimal Measurement Point and RaDR-WCNN,Jiang Yuanyuan; Zhou Miao,IEEE Journal of Emerging and Selected Topics in Power Electronics,2026,journal-article,IEEE JESTPE,0,
10.1109/jestpe.2024.3502255,Online Degradation Fault Prognosis for DC-Link Capacitors in Multistring-Connected Photovoltaic Boost Converters Subject to Cable Uncertainties,Lu Geye; Lin Qiuqiong; Zheng Dayong; Zhang Pinjia,IEEE Journal of Emerging and Selected Topics in Power Electronics,2025,journal-article,IEEE JESTPE,19,
10.1109/tr.2024.3421329,Comprehensive Reliability Review and Assessment of Switched-Capacitor Step-Up DC–DC Converters,Eslamloo Milad Khoubrooy; Varesi Kazem; Tarzamni Hadi; Lee Sze Sing,IEEE Transactions on Reliability,2025,journal-article,IEEE Trans. Reliability,14,
