doi,level_assigned,level_final,audit,audit_reason,audit_lenses,confidence,level_reason,n_reviews,citations,year,title,authors,journal,type,cap_type,method,section,priority,status
10.1109/tie.2016.2586020,7,7,,,2,medium,lifetime monitoring is converted into an economically optimal replacement/operation decision for the grid-feeding PV system,2,48,2016,Lifetime Monitoring of Electrolytic Capacitor to Maximize Earnings From Grid-Feeding PV System,Agarwal Nikunj; Arya Abhinav; Ahmad Md Waseem; Anand Sandeep,IEEE Transactions on Industrial Electronics,journal-article,Al-Cap,Physics-informed/PoF,S9-Deployability,P1,NEED_MANUAL
10.1109/phm.2011.5939474,7,7,,,2,medium,"couples an electrolytic-capacitor degradation model to an explicit maintenance strategy, so the delivered output is a maintenance decision",1,8,2011,Degradation model and maintenance strategy of the electrolytic capacitors for electronics applications,Yuege Zhou; Xuerong Ye; Guofu Zhai,2011 Prognostics and System Health Managment Confernece,proceedings-article,Al-Cap,Physics-informed/PoF,S9-Deployability,P1,NEED_MANUAL
10.1109/tia.2010.2049972,6,6,,,2,medium,"a real-time predictive-maintenance system implies drift extrapolation of the monitored parameter to a predicted end-of-life, not just a present-value estimate",6,185,2010,A Real-Time Predictive-Maintenance System of Aluminum Electrolytic Capacitors Used in Uninterrupted Power Supplies,Abdennadher Karim; Venet Pascal; Rojat Gérard; Retif Jean-Marie et al.,IEEE Transactions on Industry Applications,journal-article,Al-Cap,Model-based/Filtering,S6-RUL,P1,NEED_MANUAL
10.1109/tia.2005.858258,6,6,,,2,medium,"the output is a predicted service life of the bus capacitor from a lifetime model, i.e. a time-to-failure",4,165,2005,Life Prediction Modeling of Bus Capacitors in AC Variable-Frequency Drives,Gasperi M.L.,IEEE Transactions on Industry Applications,journal-article,Al-Cap,Physics-informed/PoF,S6-RUL,P1,NEED_MANUAL
10.1109/tpel.2018.2865710,6,6,,,2,medium,"mission-profile PoF evaluation outputs lifetime/time-to-failure for the capacitor bank, though design-stage rather than measurement-driven",3,87,2019,Mission Profile Based Reliability Evaluation of Capacitor Banks in Wind Power Converters,Zhou Dao; Song Yipeng; Liu Yang; Blaabjerg Frede,IEEE Transactions on Power Electronics,journal-article,NR,Physics-informed/PoF,S2-FailurePhysics,P1,OA_PENDING
10.1109/tie.2016.2581156,6,6,,,2,medium,PoF simulation outputs a predicted lifetime/reliability (time-to-failure) for the electrolytic capacitor in LED drivers,2,102,2016,PoF-Simulation-Assisted Reliability Prediction for Electrolytic Capacitor in LED Drivers,Sun Bo; Fan Xuejun; Qian Cheng; Zhang Guoqi,IEEE Transactions on Industrial Electronics,journal-article,Al-Cap,Physics-informed/PoF,S6-RUL,P1,NEED_MANUAL
10.1177/1687814018781170,6,6,,,2,medium,prognostic model whose abstract targets accurate residual-life assessment of electrolytic capacitors,2,17,2018,An intelligent prognostic model for electrolytic capacitors health monitoring: A design of experiments approach,Bhargava Cherry; Banga Vijay Kumar; Singh Yaduvir,Advances in Mechanical Engineering,journal-article,Al-Cap,Data-driven,S6-RUL,P1,NEED_MANUAL
10.1109/tpel.2014.2360662,6,6,,,2,low,prognostic algorithms delivering RUL on embedded real-time hardware for power-electronic components,1,73,2015,"Computationally Efficient, Real-Time, and Embeddable Prognostic Techniques for Power Electronics",Alghassi Alireza; Perinpanayagam Suresh; Samie Mohammad; Sreenuch Tarapong,IEEE Transactions on Power Electronics,journal-article,NR,Model-based/Filtering,S9-Deployability,P1,NEED_MANUAL
10.1109/ias.1996.559241,6,6,,,2,medium,"lifetime model outputs predicted service life of aluminium electrolytic capacitors, though design-stage rather than condition-fed",1,60,,Life prediction model for aluminum electrolytic capacitors,Gasperi M.L.,IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First ,proceedings-article,Al-Cap,Physics-informed/PoF,S2-FailurePhysics,P2,NEED_MANUAL
10.1109/apec.2010.5433384,6,6,,,2,low,"sensorless scheme whose stated output is predicted capacitor life, not merely an ESR value",1,56,2010,A life prediction scheme for electrolytic capacitors in power converters without current sensor,Pang H. M.; Bryan Pong M. H.,2010 Twenty-Fifth Annual IEEE Applied Power Electronics Conference and Exposition (APEC),proceedings-article,Al-Cap,Model-based/Filtering,S6-RUL,P1,NEED_MANUAL
10.1109/tps.2013.2243476,6,6,,,2,medium,"predicts lifetime of metallized film capacitors from capacitance-loss degradation, output is a life estimate",1,49,2013,Lifetime Prediction of Metallized Film Capacitors Based on Capacitance Loss,Li Zhiwei; Li Hua; Lin Fuchang; Chen Yaohong et al.,IEEE Transactions on Plasma Science,journal-article,Film,Experimental/Physics,S6-RUL,P1,NEED_MANUAL
